Clave,Fecha,Almacenamiento
CHTSO,1993-02-01,62.63
ARLSO,1993-02-01,233.34
PMOSO,1993-02-01,143.2
ARCSO,1993-02-01,695.27
AGZCH,1993-02-01,62.81
AOBSO,1993-02-01,2769
PECSO,1993-02-01,2961.9
LCDSO,1993-02-01,933.91
IRASO,1993-02-01,25.39
LCDSO,1993-02-02,929.81
PECSO,1993-02-02,2961.9
AOBSO,1993-02-02,2769
AGZCH,1993-02-02,62.81
ARCSO,1993-02-02,692.2
PMOSO,1993-02-02,144.02
ARLSO,1993-02-02,231.8
CHTSO,1993-02-02,62.56
IRASO,1993-02-02,25.23
CHTSO,1993-02-03,62.56
ARLSO,1993-02-03,231.41
PMOSO,1993-02-03,145.2
ARCSO,1993-02-03,687.6
AGZCH,1993-02-03,62.75
AOBSO,1993-02-03,2770.5
PECSO,1993-02-03,2960.88
LCDSO,1993-02-03,926.53
IRASO,1993-02-03,25.07
LCDSO,1993-02-04,922.84
PECSO,1993-02-04,2957.8
AOBSO,1993-02-04,2772
AGZCH,1993-02-04,62.69
ARCSO,1993-02-04,684.02
PMOSO,1993-02-04,145.9
ARLSO,1993-02-04,231.03
CHTSO,1993-02-04,62.56
IRASO,1993-02-04,25.23
CHTSO,1993-02-05,62.56
ARLSO,1993-02-05,230.64
PMOSO,1993-02-05,146.2
ARCSO,1993-02-05,679.41
AGZCH,1993-02-05,62.64
AOBSO,1993-02-05,2772
PECSO,1993-02-05,2955.75
LCDSO,1993-02-05,919.56
IRASO,1993-02-05,24.55
LCDSO,1993-02-06,917.1
PECSO,1993-02-06,2951.65
AOBSO,1993-02-06,2773.5
AGZCH,1993-02-06,62.58
ARCSO,1993-02-06,675.83
PMOSO,1993-02-06,144.94
ARLSO,1993-02-06,230.25
CHTSO,1993-02-06,62.56
IRASO,1993-02-06,24.26
CHTSO,1993-02-07,62.49
ARLSO,1993-02-07,229.87
PMOSO,1993-02-07,145.2
ARCSO,1993-02-07,671.74
AGZCH,1993-02-07,62.53
AOBSO,1993-02-07,2776.5
PECSO,1993-02-07,2945.5
LCDSO,1993-02-07,915.05
IRASO,1993-02-07,23.94
LCDSO,1993-02-08,913
PECSO,1993-02-08,2938.33
AOBSO,1993-02-08,2776.5
AGZCH,1993-02-08,62.47
ARCSO,1993-02-08,667.65
PMOSO,1993-02-08,145.9
ARLSO,1993-02-08,229.1
CHTSO,1993-02-08,62.49
IRASO,1993-02-08,23.76
CHTSO,1993-02-09,62.49
ARLSO,1993-02-09,228.71
PMOSO,1993-02-09,147.4
ARCSO,1993-02-09,664.07
AGZCH,1993-02-09,62.42
AOBSO,1993-02-09,2779.5
PECSO,1993-02-09,2932.18
LCDSO,1993-02-09,910.75
IRASO,1993-02-09,23.76
LCDSO,1993-02-10,909.62
PECSO,1993-02-10,2927.05
AOBSO,1993-02-10,2782.5
AGZCH,1993-02-10,62.31
ARCSO,1993-02-10,661
PMOSO,1993-02-10,148.6
ARLSO,1993-02-10,228.71
CHTSO,1993-02-10,62.49
IRASO,1993-02-10,23.73
CHTSO,1993-02-11,62.49
ARLSO,1993-02-11,228.32
PMOSO,1993-02-11,149.4
ARCSO,1993-02-11,657.41
AGZCH,1993-02-11,62.19
AOBSO,1993-02-11,2784
PECSO,1993-02-11,2923.15
LCDSO,1993-02-11,908.5
IRASO,1993-02-11,23.55
LCDSO,1993-02-12,909.25
PECSO,1993-02-12,2919.45
AOBSO,1993-02-12,2785.5
AGZCH,1993-02-12,62.08
ARCSO,1993-02-12,654.35
PMOSO,1993-02-12,149.8
ARLSO,1993-02-12,227.55
CHTSO,1993-02-12,62.49
IRASO,1993-02-12,23.37
CHTSO,1993-02-13,62.49
ARLSO,1993-02-13,227.17
PMOSO,1993-02-13,150.1
ARCSO,1993-02-13,656.9
AGZCH,1993-02-13,61.92
AOBSO,1993-02-13,2788.5
PECSO,1993-02-13,2915.75
LCDSO,1993-02-13,908.87
IRASO,1993-02-13,23.16
LCDSO,1993-02-14,908.5
PECSO,1993-02-14,2911.13
AOBSO,1993-02-14,2791.5
AGZCH,1993-02-14,61.81
ARCSO,1993-02-14,649.23
PMOSO,1993-02-14,150.4
ARLSO,1993-02-14,226.78
CHTSO,1993-02-14,62.49
IRASO,1993-02-14,22.98
CHTSO,1993-02-15,62.56
ARLSO,1993-02-15,226.39
PMOSO,1993-02-15,150.9
ARCSO,1993-02-15,648.21
AGZCH,1993-02-15,61.64
AOBSO,1993-02-15,2802
PECSO,1993-02-15,2908.35
LCDSO,1993-02-15,907
IRASO,1993-02-15,23.06
LCDSO,1993-02-16,907
PECSO,1993-02-16,2915.75
AOBSO,1993-02-16,2812.5
AGZCH,1993-02-16,61.53
ARCSO,1993-02-16,650.25
PMOSO,1993-02-16,151.6
ARLSO,1993-02-16,226.01
CHTSO,1993-02-16,62.56
IRASO,1993-02-16,23.02
CHTSO,1993-02-17,62.56
ARLSO,1993-02-17,225.62
PMOSO,1993-02-17,152.3
ARCSO,1993-02-17,656.9
AGZCH,1993-02-17,61.42
AOBSO,1993-02-17,2818.5
PECSO,1993-02-17,2953.7
LCDSO,1993-02-17,925.3
IRASO,1993-02-17,22.99
